Branch,From,To,Year,Number of Delays
Babylon,Lindenhurst Station,Penn Station,2017,27
Babylon,Massapequa Park Station,Penn Station,2017,58
Babylon,Massapequa Park Station,Atlantic Terminal,2017,9
Babylon,Merrick Station,Penn Station,2017,26
Babylon,Penn Station,Wantagh Station,2017,239
Babylon,Penn Station,Seaford Station,2017,86
Babylon,Penn Station,Montauk Station,2017,9
Babylon,Penn Station,Massapequa Park Station,2017,24
Babylon,Penn Station,Jamaica Station,2017,1
Babylon,Penn Station,Freeport Station,2017,198
Babylon,Penn Station,Babylon Station,2017,1595
Babylon,Wantagh Station,Penn Station,2017,56
Babylon,Wantagh Station,Jamaica Station,2017,1
Far Rockaway,Atlantic Terminal,Far Rockaway Station,2017,236
Far Rockaway,Far Rockaway Station,Penn Station,2017,201
Far Rockaway,Far Rockaway Station,Jamaica Station,2017,7
Far Rockaway,Far Rockaway Station,Atlantic Terminal,2017,281
Far Rockaway,Jamaica Station,Penn Station,2017,11
Far Rockaway,Jamaica Station,Far Rockaway Station,2017,10
Far Rockaway,Jamaica Station,Atlantic Terminal,2017,68
Far Rockaway,Penn Station,Jamaica Station,2017,1
Far Rockaway,Penn Station,Far Rockaway Station,2017,59
Far Rockaway,Valley Stream Station,Penn Station,2017,55
Hempstead,Atlantic Terminal,Hempstead Station,2017,338
Hempstead,Bellmont Race Track,Jamaica Station,2017,3
Hempstead,Hempstead Station,Penn Station,2017,136
Hempstead,Hempstead Station,Jamaica Station,2017,33
Hempstead,Hempstead Station,Atlantic Terminal,2017,494
Hempstead,Jamaica Station,Hempstead Station,2017,19
Hempstead,Jamaica Station,Bellmont Race Track,2017,3
Hempstead,Penn Station,Hempstead Station,2017,233
Hempstead,Penn Station,Bellmont Race Track,2017,16
Hunt. Hicks.,Atlantic Terminal,Huntington Station,2017,41
Hunt. Hicks.,Cold Spring Harbor Sta.,Penn Station,2017,33
Hunt. Hicks.,Hicksville Station,Penn Station,2017,41
Hunt. Hicks.,Huntington Station,Penn Station,2017,1010
Hunt. Hicks.,Huntington Station,Hunterspoint Ave.,2017,23
Hunt. Hicks.,Huntington Station,Hicksville Station,2017,1
Hunt. Hicks.,Huntington Station,Atlantic Terminal,2017,27
Hunt. Hicks.,Jamaica Station,Huntington Station,2017,9
Hunt. Hicks.,Mineola Station,Penn Station,2017,2
Hunt. Hicks.,Penn Station,Westbury Station,2017,15
Hunt. Hicks.,Penn Station,Jamaica Station,2017,10
Hunt. Hicks.,Penn Station,Huntington Station,2017,1357
Hunt. Hicks.,Penn Station,Hicksville Station,2017,103
Hunt. Hicks.,Westbury Station,Penn Station,2017,41
Long Beach,Atlantic Terminal,Long Beach Station,2017,166
Long Beach,Jamaica Station,Long Beach Station,2017,7
Long Beach,Jamaica Station,Atlantic Terminal,2017,4
Long Beach,Long Beach Station,Penn Station,2017,652
Long Beach,Long Beach Station,Jamaica Station,2017,2
Long Beach,Long Beach Station,Hunterspoint Ave.,2017,3
Long Beach,Long Beach Station,Atlantic Terminal,2017,93
Long Beach,Penn Station,Long Beach Station,2017,470
Montauk,Babylon Station,Speonk Station,2017,140
Montauk,Babylon Station,Patchogue Station,2017,244
Montauk,Babylon Station,Montauk Station,2017,28
Montauk,Hunterspoint Ave.,Montauk Station,2017,43
Montauk,Hunterspoint Ave.,Freeport Station,2017,2
Montauk,Jamaica Station,Speonk Station,2017,56
Montauk,Jamaica Station,Patchogue Station,2017,120
Montauk,Jamaica Station,Montauk Station,2017,319
Montauk,Jamaica Station,Babylon Station,2017,2
Montauk,Long Island City,Patchogue Station,2017,70
Montauk,Montauk Station,Penn Station,2017,4
Montauk,Montauk Station,Long Island City,2017,66
Montauk,Montauk Station,Jamaica Station,2017,237
Montauk,Montauk Station,Hunterspoint Ave.,2017,2
Montauk,Montauk Station,Babylon Station,2017,41
Montauk,Patchogue Station,Jamaica Station,2017,14
Montauk,Patchogue Station,Babylon Station,2017,209
Montauk,Penn Station,Speonk Station,2017,38
Montauk,Penn Station,Montauk Station,2017,31
Montauk,Speonk Station,Penn Station,2017,89
Montauk,Speonk Station,Long Island City,2017,4
Montauk,Speonk Station,Jamaica Station,2017,97
Montauk,Speonk Station,Hunterspoint Ave.,2017,45
Montauk,Speonk Station,Babylon Station,2017,66
Oyster Bay,East Williston Station,Penn Station,2017,18
Oyster Bay,Hunterspoint Ave.,Oyster Bay Station,2017,79
Oyster Bay,Jamaica Station,Oyster Bay Station,2017,355
Oyster Bay,Long Island City,Oyster Bay Station,2017,55
Oyster Bay,Mineola Station,Penn Station,2017,1
Oyster Bay,Oyster Bay Station,Penn Station,2017,23
Oyster Bay,Oyster Bay Station,Mineola Station,2017,9
Oyster Bay,Oyster Bay Station,Long Island City,2017,42
Oyster Bay,Oyster Bay Station,Jamaica Station,2017,246
Oyster Bay,Oyster Bay Station,Hunterspoint Ave.,2017,33
Oyster Bay,Penn Station,Oyster Bay Station,2017,92
Port Jefferson,Hicksville Station,Port Jefferson Station,2017,95
Port Jefferson,Hunterspoint Ave.,Port Jefferson Station,2017,56
Port Jefferson,Huntington Station,Port Jefferson Station,2017,282
Port Jefferson,Jamaica Station,Port Jefferson Station,2017,90
Port Jefferson,Jamaica Station,Huntington Station,2017,1
Port Jefferson,Long Island City,Port Jefferson Station,2017,96
Port Jefferson,Penn Station,Port Jefferson Station,2017,77
Port Jefferson,Port Jefferson Station,Penn Station,2017,92
Port Jefferson,Port Jefferson Station,Long Island City,2017,31
Port Jefferson,Port Jefferson Station,Jamaica Station,2017,50
Port Jefferson,Port Jefferson Station,Huntington Station,2017,188
Port Jefferson,Port Jefferson Station,Hunterspoint Ave.,2017,102
Port Jefferson,Port Jefferson Station,Hicksville Station,2017,84
Port Jefferson,Stony Brook Station,Huntington Station,2017,22
Port Washington,Great Neck Station,Penn Station,2017,309
Port Washington,Hunterspoint Ave.,Great Neck Station,2017,2
Port Washington,Little Neck Station,Penn Station,2017,21
Port Washington,Penn Station,Port Washington Station,2017,950
Port Washington,Penn Station,Great Neck Station,2017,305
Port Washington,Port Washington Station,Penn Station,2017,1604
Ronk. (greenpt.),Atlantic Terminal,Ronkonkoma Station,2017,57
Ronk. (greenpt.),Bethpage Station,Penn Station,2017,75
Ronk. (greenpt.),Brentwood Station,Penn Station,2017,17
Ronk. (greenpt.),Central Islip Station,Penn Station,2017,28
Ronk. (greenpt.),Deer Park Station,Riverhead Station,2017,9
Ronk. (greenpt.),Farmingdale Station,Ronkonkoma Station,2017,2
Ronk. (greenpt.),Farmingdale Station,Penn Station,2017,209
Ronk. (greenpt.),Greenport Station,Ronkonkoma Station,2017,58
Ronk. (greenpt.),Greenport Station,Jamaica Station,2017,1
Ronk. (greenpt.),Hicksville Station,Penn Station,2017,19
Ronk. (greenpt.),Hicksville Station,Atlantic Terminal,2017,1
