branch,hour,year,NR
Far Rockaway,13,2010,14
Far Rockaway,14,2010,10
Far Rockaway,15,2010,12
Far Rockaway,16,2010,48
Far Rockaway,17,2010,37
Far Rockaway,18,2010,40
Far Rockaway,19,2010,31
Far Rockaway,20,2010,14
Far Rockaway,21,2010,12
Far Rockaway,22,2010,25
Far Rockaway,23,2010,6
Far Rockaway,0,2011,17
Far Rockaway,1,2011,15
Far Rockaway,2,2011,1
Far Rockaway,3,2011,7
Far Rockaway,4,2011,10
Far Rockaway,5,2011,16
Far Rockaway,6,2011,31
Far Rockaway,7,2011,68
Far Rockaway,8,2011,86
Far Rockaway,9,2011,12
Far Rockaway,10,2011,22
Far Rockaway,11,2011,13
Far Rockaway,12,2011,19
Far Rockaway,13,2011,22
Far Rockaway,14,2011,13
Far Rockaway,15,2011,28
Far Rockaway,16,2011,57
Far Rockaway,17,2011,70
Far Rockaway,18,2011,63
Far Rockaway,19,2011,57
Far Rockaway,20,2011,28
Far Rockaway,21,2011,20
Far Rockaway,22,2011,35
Far Rockaway,23,2011,5
Far Rockaway,0,2012,10
Far Rockaway,1,2012,4
Far Rockaway,2,2012,3
Far Rockaway,3,2012,7
Far Rockaway,4,2012,5
Far Rockaway,5,2012,24
Far Rockaway,6,2012,19
Far Rockaway,7,2012,53
Far Rockaway,8,2012,74
Far Rockaway,9,2012,9
Far Rockaway,10,2012,12
Far Rockaway,11,2012,6
Far Rockaway,12,2012,11
Far Rockaway,13,2012,28
Far Rockaway,14,2012,13
Far Rockaway,15,2012,17
Far Rockaway,16,2012,59
Far Rockaway,17,2012,80
Far Rockaway,18,2012,69
Far Rockaway,19,2012,51
Far Rockaway,20,2012,11
Far Rockaway,21,2012,12
Far Rockaway,22,2012,29
Far Rockaway,23,2012,15
Far Rockaway,0,2013,12
Far Rockaway,1,2013,5
Far Rockaway,2,2013,2
Far Rockaway,3,2013,6
Far Rockaway,4,2013,8
Far Rockaway,5,2013,17
Far Rockaway,6,2013,19
Far Rockaway,7,2013,72
Far Rockaway,8,2013,139
Far Rockaway,9,2013,11
Far Rockaway,10,2013,12
Far Rockaway,11,2013,10
Far Rockaway,12,2013,16
Far Rockaway,13,2013,10
Far Rockaway,14,2013,12
Far Rockaway,15,2013,25
Far Rockaway,16,2013,85
Far Rockaway,17,2013,78
Far Rockaway,18,2013,82
Far Rockaway,19,2013,39
Far Rockaway,20,2013,8
Far Rockaway,21,2013,16
Far Rockaway,22,2013,17
Far Rockaway,23,2013,20
Far Rockaway,0,2014,21
Far Rockaway,1,2014,8
Far Rockaway,2,2014,2
Far Rockaway,3,2014,9
Far Rockaway,4,2014,17
Far Rockaway,5,2014,25
Far Rockaway,6,2014,18
Far Rockaway,7,2014,94
Far Rockaway,8,2014,152
Far Rockaway,9,2014,13
Far Rockaway,10,2014,20
Far Rockaway,11,2014,31
Far Rockaway,12,2014,24
Far Rockaway,13,2014,29
Far Rockaway,14,2014,24
Far Rockaway,15,2014,39
Far Rockaway,16,2014,103
Far Rockaway,17,2014,117
Far Rockaway,18,2014,90
Far Rockaway,19,2014,60
Far Rockaway,20,2014,12
Far Rockaway,21,2014,18
Far Rockaway,22,2014,15
Far Rockaway,23,2014,30
Far Rockaway,0,2015,19
Far Rockaway,1,2015,16
Far Rockaway,2,2015,1
Far Rockaway,3,2015,11
Far Rockaway,4,2015,4
Far Rockaway,5,2015,25
Far Rockaway,6,2015,24
Far Rockaway,7,2015,104
Far Rockaway,8,2015,183
Far Rockaway,9,2015,17
Far Rockaway,10,2015,12
Far Rockaway,11,2015,16
Far Rockaway,12,2015,32
Far Rockaway,13,2015,20
Far Rockaway,14,2015,24
Far Rockaway,15,2015,33
Far Rockaway,16,2015,61
Far Rockaway,17,2015,143
Far Rockaway,18,2015,85
Far Rockaway,19,2015,61
Far Rockaway,20,2015,10
Far Rockaway,21,2015,24
Far Rockaway,22,2015,33
Far Rockaway,23,2015,31
Far Rockaway,0,2016,17
Far Rockaway,1,2016,7
Far Rockaway,2,2016,
Far Rockaway,3,2016,8
Far Rockaway,4,2016,3
Far Rockaway,5,2016,24
Far Rockaway,6,2016,11
Far Rockaway,7,2016,61
Far Rockaway,8,2016,127
Far Rockaway,9,2016,9
Far Rockaway,10,2016,12
Far Rockaway,11,2016,22
Far Rockaway,12,2016,34
Far Rockaway,13,2016,23
Far Rockaway,14,2016,42
Far Rockaway,15,2016,20
Far Rockaway,16,2016,58
Far Rockaway,17,2016,96
Far Rockaway,18,2016,79
Far Rockaway,19,2016,36
Far Rockaway,20,2016,6
Far Rockaway,21,2016,13
Far Rockaway,22,2016,23
Far Rockaway,23,2016,22
Far Rockaway,0,2017,16
Far Rockaway,1,2017,8
Far Rockaway,2,2017,
Far Rockaway,3,2017,10
Far Rockaway,4,2017,6
Far Rockaway,5,2017,15
Far Rockaway,6,2017,27
Far Rockaway,7,2017,79
Far Rockaway,8,2017,151
Far Rockaway,9,2017,13
Far Rockaway,10,2017,13
Far Rockaway,11,2017,17
Far Rockaway,12,2017,25
Far Rockaway,13,2017,17
Far Rockaway,14,2017,49
Far Rockaway,15,2017,35
Far Rockaway,16,2017,107
Far Rockaway,17,2017,136
Far Rockaway,18,2017,82
Far Rockaway,19,2017,60
Far Rockaway,20,2017,6
Far Rockaway,21,2017,13
Far Rockaway,22,2017,27
Far Rockaway,23,2017,17
Far Rockaway,0,2018,9
Far Rockaway,1,2018,4
Far Rockaway,2,2018,3
Far Rockaway,3,2018,5
Far Rockaway,4,2018,3
Far Rockaway,5,2018,22
Far Rockaway,6,2018,33
Far Rockaway,7,2018,61
Far Rockaway,8,2018,84
Far Rockaway,9,2018,10
Far Rockaway,10,2018,17
Far Rockaway,11,2018,10
Far Rockaway,12,2018,16
Far Rockaway,13,2018,19
Far Rockaway,14,2018,33
Far Rockaway,15,2018,29
Far Rockaway,16,2018,58
Far Rockaway,17,2018,67
Far Rockaway,18,2018,39
Far Rockaway,19,2018,28
Far Rockaway,20,2018,5
Far Rockaway,21,2018,13
Far Rockaway,22,2018,24
Far Rockaway,23,2018,23
Hempstead,0,2010,7
Hempstead,1,2010,15
Hempstead,2,2010,5
Hempstead,3,2010,4
Hempstead,4,2010,6
Hempstead,5,2010,7
Hempstead,6,2010,17
Hempstead,7,2010,32
Hempstead,8,2010,21
Hempstead,9,2010,9
Hempstead,10,2010,12
Hempstead,11,2010,20
Hempstead,12,2010,13
Hempstead,13,2010,26
Hempstead,14,2010,22
Hempstead,15,2010,22
Hempstead,16,2010,33
Hempstead,17,2010,67
Hempstead,18,2010,39
Hempstead,19,2010,32
Hempstead,20,2010,14
Hempstead,21,2010,16
Hempstead,22,2010,11
Hempstead,23,2010,11
Hempstead,0,2011,6
Hempstead,1,2011,29
Hempstead,2,2011,11
Hempstead,3,2011,3
Hempstead,4,2011,7
Hempstead,5,2011,19
Hempstead,6,2011,65
Hempstead,7,2011,51
Hempstead,8,2011,43
Hempstead,9,2011,25
Hempstead,10,2011,21
Hempstead,11,2011,12
Hempstead,12,2011,15
Hempstead,13,2011,22
Hempstead,14,2011,14
Hempstead,15,2011,23
Hempstead,16,2011,28
Hempstead,17,2011,96
Hempstead,18,2011,58
Hempstead,19,2011,49
Hempstead,20,2011,21
Hempstead,21,2011,26
Hempstead,22,2011,17
Hempstead,23,2011,17
Hempstead,0,2012,3
Hempstead,1,2012,20
Hempstead,2,2012,15
Hempstead,3,2012,1
Hempstead,4,2012,11
Hempstead,5,2012,15
Hempstead,6,2012,49
Hempstead,7,2012,46
Hempstead,8,2012,40
Hempstead,9,2012,20
Hempstead,10,2012,17
Hempstead,11,2012,10
Hempstead,12,2012,20
Hempstead,13,2012,15
Hempstead,14,2012,13
Hempstead,15,2012,11
Hempstead,16,2012,20
Hempstead,17,2012,71
Hempstead,18,2012,48
Hempstead,19,2012,58
Hempstead,20,2012,22
Hempstead,21,2012,21
Hempstead,22,2012,30
Hempstead,23,2012,15
Hempstead,0,2013,29
Hempstead,1,2013,35
Hempstead,2,2013,1
Hempstead,3,2013,2
Hempstead,4,2013,6
Hempstead,5,2013,18
Hempstead,6,2013,59
Hempstead,7,2013,61
Hempstead,8,2013,66
Hempstead,9,2013,37
Hempstead,10,2013,11
Hempstead,11,2013,25
Hempstead,12,2013,18
Hempstead,13,2013,20
Hempstead,14,2013,13
Hempstead,15,2013,17
Hempstead,16,2013,72
Hempstead,17,2013,83
Hempstead,18,2013,65
Hempstead,19,2013,35
Hempstead,20,2013,26
Hempstead,21,2013,22
Hempstead,22,2013,8
Hempstead,23,2013,16
Hempstead,0,2014,27
Hempstead,1,2014,59
Hempstead,2,2014,
Hempstead,3,2014,5
Hempstead,4,2014,10
Hempstead,5,2014,19
Hempstead,6,2014,51
Hempstead,7,2014,57
Hempstead,8,2014,67
Hempstead,9,2014,21
Hempstead,10,2014,11
Hempstead,11,2014,16
Hempstead,12,2014,33
Hempstead,13,2014,35
Hempstead,14,2014,31
Hempstead,15,2014,37
Hempstead,16,2014,114
Hempstead,17,2014,178
Hempstead,18,2014,104
Hempstead,19,2014,51
Hempstead,20,2014,41
Hempstead,21,2014,30
Hempstead,22,2014,21
Hempstead,23,2014,15
Hempstead,0,2015,24
Hempstead,1,2015,31
Hempstead,2,2015,
Hempstead,3,2015,4
Hempstead,4,2015,4
Hempstead,5,2015,19
Hempstead,6,2015,82
Hempstead,7,2015,59
Hempstead,8,2015,67
Hempstead,9,2015,35
Hempstead,10,2015,25
Hempstead,11,2015,25
Hempstead,12,2015,36
Hempstead,13,2015,42
Hempstead,14,2015,24
Hempstead,15,2015,27
Hempstead,16,2015,102
Hempstead,17,2015,184
Hempstead,18,2015,104
Hempstead,19,2015,73
Hempstead,20,2015,37
Hempstead,21,2015,41
Hempstead,22,2015,21
Hempstead,23,2015,33
Hempstead,0,2016,32
Hempstead,1,2016,39
Hempstead,2,2016,
Hempstead,3,2016,9
Hempstead,4,2016,3
Hempstead,5,2016,25
Hempstead,6,2016,45
Hempstead,7,2016,37
Hempstead,8,2016,49
Hempstead,9,2016,25
Hempstead,10,2016,22
Hempstead,11,2016,24
Hempstead,12,2016,31
Hempstead,13,2016,23
Hempstead,14,2016,26
Hempstead,15,2016,42
Hempstead,16,2016,86
Hempstead,17,2016,137
Hempstead,18,2016,80
Hempstead,19,2016,46
Hempstead,20,2016,28
Hempstead,21,2016,28
Hempstead,22,2016,15
Hempstead,23,2016,19
Hempstead,0,2017,29
Hempstead,1,2017,36
Hempstead,2,2017,
Hempstead,3,2017,18
Hempstead,4,2017,6
Hempstead,5,2017,31
Hempstead,6,2017,66
Hempstead,7,2017,53
Hempstead,8,2017,69
Hempstead,9,2017,22
Hempstead,10,2017,27
Hempstead,11,2017,23
Hempstead,12,2017,39
Hempstead,13,2017,45
Hempstead,14,2017,29
Hempstead,15,2017,55
Hempstead,16,2017,163
Hempstead,17,2017,193
Hempstead,18,2017,129
Hempstead,19,2017,74
Hempstead,20,2017,71
Hempstead,21,2017,41
Hempstead,22,2017,27
Hempstead,23,2017,29
Hempstead,0,2018,18
Hempstead,1,2018,20
Hempstead,2,2018,
Hempstead,3,2018,3
Hempstead,4,2018,1
Hempstead,5,2018,26
Hempstead,6,2018,51
Hempstead,7,2018,51
Hempstead,8,2018,65
Hempstead,9,2018,23
Hempstead,10,2018,28
Hempstead,11,2018,22
Hempstead,12,2018,40
Hempstead,13,2018,47
Hempstead,14,2018,38
Hempstead,15,2018,47
Hempstead,16,2018,88
Hempstead,17,2018,90
Hempstead,18,2018,66
Hempstead,19,2018,45
Hempstead,20,2018,41
Hempstead,21,2018,22
Hempstead,22,2018,19
Hempstead,23,2018,24
Hunt. Hicks.,0,2010,6
Hunt. Hicks.,1,2010,16
Hunt. Hicks.,2,2010,1
Hunt. Hicks.,3,2010,5
Hunt. Hicks.,4,2010,9
Hunt. Hicks.,5,2010,40
Hunt. Hicks.,6,2010,30
Hunt. Hicks.,7,2010,65
Hunt. Hicks.,8,2010,103
Hunt. Hicks.,9,2010,12
Hunt. Hicks.,10,2010,21
Hunt. Hicks.,11,2010,43
Hunt. Hicks.,12,2010,34
Hunt. Hicks.,13,2010,44
Hunt. Hicks.,14,2010,76
Hunt. Hicks.,15,2010,65
Hunt. Hicks.,16,2010,91
Hunt. Hicks.,17,2010,181
Hunt. Hicks.,18,2010,142
Hunt. Hicks.,19,2010,80
Hunt. Hicks.,20,2010,61
Hunt. Hicks.,21,2010,41
Hunt. Hicks.,22,2010,25
Hunt. Hicks.,23,2010,29
Hunt. Hicks.,0,2011,23
Hunt. Hicks.,1,2011,24
Hunt. Hicks.,2,2011,3
